rating,year,votes,number of seasons
8.6,1989.0,162.0,4.0
6.9,1966.0,137.0,2.0
6.9,1966.0,137.0,2.0
6.9,1966.0,137.0,2.0
6.9,1966.0,137.0,2.0
5.3,2006.0,500.0,
5.3,2006.0,500.0,
5.3,2006.0,500.0,
6.9,2003.0,157765.0,
6.9,2003.0,157765.0,
6.9,2003.0,157765.0,
6.9,2003.0,157765.0,
,2005.0,,
7.5,2002.0,812.0,1.0
7.5,2002.0,812.0,1.0
7.5,2002.0,812.0,1.0
7.5,2002.0,812.0,1.0
5.5,2008.0,1086.0,10.0
5.5,2008.0,1086.0,10.0
6.7,2002.0,432.0,23.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
7.5,2011.0,21686.0,4.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
8.0,2011.0,470.0,1.0
7.9,2012.0,3328.0,2.0
7.9,2012.0,3328.0,2.0
6.5,2009.0,69.0,1.0
6.5,2009.0,69.0,1.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
7.4,2003.0,347.0,5.0
6.8,1996.0,480.0,1.0
4.5,1991.0,241.0,
4.5,1991.0,241.0,
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.6,2004.0,27415.0,4.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.8,2011.0,1176.0,2.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.4,2005.0,28785.0,4.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
7.2,2011.0,76431.0,5.0
6.5,1975.0,139.0,1.0
,2009.0,,
,2009.0,,
,2009.0,,
,2009.0,,
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
7.5,1974.0,11893.0,11.0
5.4,1999.0,599.0,9.0
5.4,1999.0,599.0,9.0
5.4,1999.0,599.0,9.0
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
,2005.0,,
